time, temp
21:39a, (20.062,68.11160000000001)
21:40b, (21.75,71.15)
21:40a, (19.937,68.0)
21:41b, (21.75,71.15)
21:41a, (19.937,67.8866)
21:42b, (21.687,71.15)
21:42a, (19.875,67.8866)
21:44b, (21.687,71.0366)
21:44a, (19.875,67.775)
21:45b, (21.687,71.0366)
21:45a, (20.0,68.0)
21:46b, (21.687,71.0366)
21:46a, (19.937,67.8866)
21:47b, (21.75,71.15)
21:47a, (20.125,68.225)
21:48b, (21.812,71.15)
21:48a, (20.312,68.675)
21:49b, (21.75,71.15)
21:49a, (20.5,68.9)
21:50b, (21.75,71.15)
21:50a, (20.437,68.9)
21:51b, (21.687,71.15)
21:51a, (20.437,68.7866)
21:52b, (21.75,71.15)
21:52a, (20.437,68.7866)
21:53b, (21.875,71.375)
21:53a, (20.375,68.675)
21:54b, (21.875,71.48660000000001)
21:54a, (20.312,68.5616)
21:55b, (21.875,71.48660000000001)
21:55a, (20.187,68.3366)
21:56b, (21.875,71.48660000000001)
21:56a, (20.187,68.11160000000001)
21:57b, (21.812,71.375)
21:57a, (20.0,68.0)
21:58b, (21.812,71.2616)
21:58a, (19.937,67.8866)
21:59b, (21.812,71.2616)
21:59a, (19.937,67.8866)
22:1b, (21.75,71.2616)
22:1a, (19.937,67.8866)
22:2b, (21.687,71.15)
22:2a, (19.875,67.775)
22:3b, (21.75,71.15)
22:3a, (19.812,67.775)
22:4b, (21.687,71.0366)
22:4a, (19.812,67.6616)
22:5b, (21.687,71.0366)
22:5a, (19.875,67.775)
22:6b, (21.687,71.0366)
22:6a, (19.875,67.775)
22:7b, (21.687,71.0366)
22:7a, (19.937,68.0)
22:8b, (21.687,71.15)
22:8a, (20.125,68.225)
22:9b, (21.687,71.15)
22:9a, (20.25,68.45)
22:10b, (21.687,71.0366)
22:10a, (20.25,68.45)
22:11b, (21.687,71.15)
22:11a, (20.187,68.3366)
22:12b, (21.875,71.375)
22:12a, (20.125,68.225)
22:13b, (21.812,71.2616)
22:13a, (20.062,68.11160000000001)
22:14b, (21.812,71.2616)
22:14a, (20.0,68.0)
22:15b, (21.75,71.2616)
22:15a, (20.0,68.0)
22:16b, (21.75,71.15)
22:16a, (19.875,67.775)
22:17b, (21.687,71.15)
22:17a, (19.812,67.6616)
22:19b, (21.687,71.15)
22:19a, (19.75,67.6616)
22:20b, (21.687,71.0366)
22:20a, (19.75,67.55)
22:21b, (21.625,70.925)
22:21a, (19.75,67.55)
22:22b, (21.625,70.925)
22:22a, (19.812,67.6616)
22:23b, (21.625,71.0366)
22:23a, (19.812,67.6616)
22:24b, (21.687,70.925)
22:24a, (19.875,67.8866)
22:25b, (21.625,71.0366)
22:25a, (20.125,68.225)
22:26b, (21.625,71.0366)
22:26a, (20.25,68.45)
22:27b, (21.625,71.0366)
22:27a, (20.312,68.5616)
22:28b, (21.625,70.925)
22:28a, (20.25,68.5616)
22:29b, (21.687,71.0366)
22:29a, (20.25,68.5616)
22:30b, (21.75,71.2616)
22:30a, (20.187,68.45)
22:31b, (21.75,71.15)
22:31a, (20.187,68.45)
22:32b, (21.812,71.2616)
22:32a, (20.062,68.11160000000001)
22:33b, (21.812,71.2616)
22:33a, (20.0,68.0)
22:34b, (21.75,71.15)
22:34a, (19.875,67.8866)
22:35b, (21.687,71.15)
22:35a, (19.875,67.775)
22:37b, (21.687,71.0366)
22:37a, (19.812,67.775)
22:38b, (21.625,70.925)
22:38a, (19.75,67.55)
22:39b, (21.625,70.925)
22:39a, (19.75,67.6616)
22:40b, (21.625,71.0366)
22:40a, (19.812,67.6616)
22:41b, (21.625,70.925)
22:41a, (19.812,67.6616)
22:42b, (21.562,70.925)
22:42a, (19.75,67.6616)
22:43b, (21.562,70.8116)
22:43a, (19.875,67.775)
22:44b, (21.625,70.925)
22:44a, (20.0,68.0)
22:45b, (21.625,70.925)
22:45a, (20.125,68.3366)
22:46b, (21.625,70.925)
22:46a, (20.125,68.225)
22:47b, (21.625,71.0366)
22:47a, (20.125,68.225)
22:48b, (21.75,71.15)
22:48a, (20.125,68.11160000000001)
22:49b, (21.812,71.2616)
22:49a, (19.937,67.8866)
22:50b, (21.812,71.15)
22:50a, (19.875,67.775)
22:51b, (21.687,71.15)
22:51a, (19.812,67.775)
22:52b, (21.687,71.15)
22:52a, (19.75,67.6616)
22:53b, (21.687,71.0366)
22:53a, (19.75,67.6616)
22:55b, (21.625,71.0366)
22:55a, (19.75,67.55)
22:56b, (21.562,70.925)
22:56a, (19.687,67.55)
22:57b, (21.562,70.8116)
22:57a, (19.687,67.4366)
22:58b, (21.562,70.8116)
22:58a, (19.75,67.55)
22:59b, (21.562,70.925)
22:59a, (19.75,67.55)
23:0b, (21.562,70.925)
23:0a, (20.0,68.0)
23:1b, (21.625,70.925)
23:1a, (20.187,68.3366)
23:2b, (21.625,70.925)
23:2a, (20.187,68.45)
23:3b, (21.562,70.925)
23:3a, (20.187,68.3366)
23:4b, (21.625,70.925)
23:4a, (20.25,68.45)
23:5b, (21.687,71.15)
23:5a, (20.187,68.45)
23:6b, (21.75,71.2616)
23:6a, (20.125,68.225)
23:7b, (21.75,71.15)
23:7a, (20.062,68.11160000000001)
23:8b, (21.75,71.15)
23:8a, (19.937,67.8866)
23:9b, (21.75,71.15)
23:9a, (19.812,67.775)
23:10b, (21.687,71.0366)
23:10a, (19.75,67.55)
23:12b, (21.687,71.0366)
23:12a, (19.75,67.55)
23:13b, (21.625,70.925)
23:13a, (19.75,67.55)
23:14b, (21.625,70.925)
23:14a, (19.75,67.55)
23:15b, (21.562,70.8116)
23:15a, (19.687,67.4366)
23:16b, (21.562,70.925)
23:16a, (19.687,67.4366)
23:17b, (21.562,70.8116)
23:17a, (19.687,67.4366)
23:18b, (21.562,70.8116)
23:18a, (19.75,67.55)
23:19b, (21.562,70.8116)
23:19a, (19.875,67.8866)
23:20b, (21.562,70.8116)
23:20a, (20.062,68.225)
23:21b, (21.5,70.8116)
23:21a, (20.125,68.225)
23:22b, (21.562,70.8116)
23:22a, (20.062,68.225)
23:23b, (21.562,70.8116)
23:23a, (20.062,68.11160000000001)
23:24b, (21.562,70.8116)
23:24a, (20.125,68.225)
23:25b, (21.625,70.925)
23:25a, (20.062,68.11160000000001)
23:26b, (21.687,71.15)
23:26a, (19.937,67.8866)
23:27b, (21.687,71.15)
23:27a, (19.937,67.775)
23:28b, (21.687,71.0366)
23:28a, (19.75,67.6616)
23:30b, (21.687,71.0366)
23:30a, (19.687,67.55)
23:31b, (21.687,71.0366)
23:31a, (19.625,67.4366)
23:32b, (21.625,70.925)
23:32a, (19.687,67.4366)
23:33b, (21.562,70.925)
23:33a, (19.625,67.4366)
23:34b, (21.562,70.8116)
23:34a, (19.625,67.325)
23:35b, (21.5,70.8116)
23:35a, (19.625,67.4366)
23:36b, (21.5,70.8116)
23:36a, (19.625,67.4366)
23:37b, (21.562,70.8116)
23:37a, (19.625,67.4366)
23:38b, (21.562,70.8116)
23:38a, (19.812,67.6616)
23:39b, (21.5,70.8116)
23:39a, (19.937,68.0)
23:40b, (21.562,70.8116)
23:40a, (20.0,68.11160000000001)
23:41b, (21.562,70.8116)
23:41a, (20.0,68.11160000000001)
23:42b, (21.562,70.8116)
23:42a, (20.125,68.225)
23:43b, (21.625,70.925)
23:43a, (20.062,68.11160000000001)
23:44b, (21.687,71.15)
23:44a, (19.937,68.0)
23:45b, (21.687,71.15)
23:45a, (19.875,67.8866)
23:46b, (21.687,71.15)
23:46a, (19.75,67.6616)
23:48b, (21.625,71.0366)
23:48a, (19.687,67.55)
23:49b, (21.625,71.0366)
23:49a, (19.625,67.4366)
23:50b, (21.687,70.925)
23:50a, (19.625,67.325)
23:51b, (21.562,70.8116)
23:51a, (19.562,67.2116)
23:52b, (21.562,70.8116)
23:52a, (19.562,67.2116)
23:53b, (21.5,70.8116)
23:53a, (19.5,67.2116)
23:54b, (21.5,70.7)
23:54a, (19.562,67.325)
23:55b, (21.5,70.7)
23:55a, (19.562,67.325)
23:56b, (21.5,70.8116)
23:56a, (19.687,67.4366)
23:57b, (21.5,70.7)
23:57a, (19.875,67.775)
23:58b, (21.5,70.7)
23:58a, (20.062,68.11160000000001)
23:59b, (21.5,70.7)
23:59a, (20.0,68.0)
0:0b, (21.5,70.7)
0:0a, (19.937,68.0)
0:1b, (21.5,70.8116)
0:1a, (20.0,68.0)
0:2b, (21.562,70.8116)
0:2a, (20.0,68.11160000000001)
0:3b, (21.625,70.925)
0:3a, (20.0,68.0)
0:5b, (21.687,71.0366)
0:5a, (19.875,67.8866)
0:6b, (21.687,71.0366)
0:6a, (19.812,67.6616)
0:7b, (21.625,71.0366)
0:7a, (19.75,67.55)
0:8b, (21.625,70.925)
0:8a, (19.625,67.4366)
0:9b, (21.562,70.925)
0:9a, (19.625,67.325)
0:10b, (21.562,70.8116)
0:10a, (19.562,67.2116)
0:11b, (21.5,70.8116)
0:11a, (19.625,67.325)
0:12b, (21.562,70.8116)
0:12a, (19.562,67.325)
0:13b, (21.5,70.7)
0:13a, (19.625,67.325)
0:14b, (21.5,70.7)
0:14a, (19.625,67.4366)
0:15b, (21.5,70.7)
0:15a, (19.687,67.55)
0:16b, (21.5,70.7)
0:16a, (19.875,67.775)
0:17b, (21.5,70.7)
0:17a, (20.062,68.11160000000001)
0:18b, (21.5,70.8116)
0:18a, (20.125,68.3366)
0:19b, (21.5,70.8116)
0:19a, (20.062,68.11160000000001)
0:20b, (21.5,70.8116)
0:20a, (20.187,68.3366)
0:21b, (21.562,70.8116)
0:21a, (20.125,68.3366)
0:23b, (21.625,70.925)
0:23a, (20.125,68.225)
0:24b, (21.687,71.0366)
0:24a, (20.0,68.0)
0:25b, (21.687,71.0366)
0:25a, (19.875,67.8866)
0:26b, (21.687,71.0366)
0:26a, (19.812,67.775)
0:27b, (21.625,71.0366)
0:27a, (19.75,67.6616)
0:28b, (21.625,70.925)
0:28a, (19.687,67.55)
0:29b, (21.625,70.925)
0:29a, (19.625,67.4366)
0:30b, (21.562,70.925)
0:30a, (19.687,67.4366)
0:31b, (21.5,70.8116)
0:31a, (19.625,67.325)
0:32b, (21.5,70.8116)
0:32a, (19.562,67.325)
0:33b, (21.5,70.7)
0:33a, (19.687,67.4366)
0:34b, (21.5,70.7)
0:34a, (19.625,67.4366)
0:35b, (21.5,70.7)
0:35a, (19.812,67.775)
0:36b, (21.5,70.8116)
0:36a, (19.937,68.0)
0:37b, (21.5,70.8116)
0:37a, (20.062,68.11160000000001)
0:38b, (21.5,70.8116)
0:38a, (20.0,68.0)
0:39b, (21.5,70.8116)
0:39a, (20.0,68.0)
0:41b, (21.5,70.8116)
0:41a, (20.062,68.11160000000001)
0:42b, (21.562,70.8116)
0:42a, (20.062,68.11160000000001)
0:43b, (21.625,71.0366)
0:43a, (20.0,68.0)
0:44b, (21.687,71.15)
0:44a, (19.875,67.775)
0:45b, (21.687,71.0366)
0:45a, (19.875,67.775)
0:46b, (21.625,71.0366)
0:46a, (19.75,67.6616)
0:47b, (21.625,70.925)
0:47a, (19.75,67.55)
0:48b, (21.562,70.925)
0:48a, (19.75,67.55)
0:49b, (21.625,70.8116)
0:49a, (19.625,67.325)
0:50b, (21.562,70.8116)
0:50a, (19.562,67.2116)
0:51b, (21.562,70.8116)
0:51a, (19.5,67.2116)
0:52b, (21.562,70.8116)
0:52a, (19.562,67.325)
0:53b, (21.5,70.8116)
0:53a, (19.625,67.4366)
0:54b, (21.5,70.8116)
0:54a, (19.75,67.6616)
0:55b, (21.562,70.8116)
0:55a, (20.062,68.11160000000001)
0:56b, (21.5,70.8116)
0:56a, (20.125,68.225)
0:58b, (21.5,70.7)
0:58a, (20.0,68.11160000000001)
0:59b, (21.5,70.7)
0:59a, (20.062,68.11160000000001)
1:0b, (21.5,70.8116)
1:0a, (20.125,68.225)
1:1b, (21.562,70.8116)
1:1a, (20.062,68.225)
1:2b, (21.562,70.925)
1:2a, (19.937,67.8866)
1:3b, (21.625,70.925)
1:3a, (19.875,67.775)
1:4b, (21.625,70.925)
1:4a, (19.75,67.55)
1:5b, (21.625,70.925)
1:5a, (19.687,67.55)
1:6b, (21.562,70.925)
1:6a, (19.687,67.4366)
1:7b, (21.562,70.925)
1:7a, (19.687,67.4366)
1:8b, (21.562,70.8116)
1:8a, (19.687,67.4366)
1:9b, (21.5,70.7)
1:9a, (19.625,67.4366)
1:10b, (21.5,70.7)
1:10a, (19.625,67.325)
1:11b, (21.5,70.7)
1:11a, (19.625,67.4366)
1:12b, (21.5,70.7)
1:12a, (19.625,67.4366)
1:13b, (21.5,70.7)
1:13a, (19.812,67.6616)
1:14b, (21.5,70.7)
1:14a, (19.937,67.8866)
1:16b, (21.5,70.7)
1:16a, (20.0,68.11160000000001)
1:17b, (21.5,70.7)
1:17a, (20.062,68.11160000000001)
1:18b, (21.5,70.7)
1:18a, (20.125,68.225)
1:19b, (21.562,70.8116)
1:19a, (20.0,68.11160000000001)
1:20b, (21.562,70.8116)
1:20a, (19.937,67.8866)
1:21b, (21.562,70.8116)
1:21a, (19.812,67.6616)
1:22b, (21.562,70.8116)
1:22a, (19.75,67.55)
1:23b, (21.562,70.8116)
1:23a, (19.687,67.4366)
1:24b, (21.5,70.8116)
1:24a, (19.625,67.325)
1:25b, (21.437,70.7)
1:25a, (19.625,67.325)
1:26b, (21.437,70.5866)
1:26a, (19.562,67.325)
1:27b, (21.437,70.5866)
1:27a, (19.562,67.2116)
1:28b, (21.437,70.5866)
1:28a, (19.625,67.4366)
1:29b, (21.375,70.5866)
1:29a, (19.812,67.775)
1:30b, (21.562,70.8116)
1:30a, (20.125,68.3366)
1:31b, (21.5,70.7)
1:31a, (20.125,68.225)
1:33b, (21.437,70.7)
1:33a, (20.125,68.225)
1:34b, (21.437,70.7)
1:34a, (20.25,68.45)
1:35b, (21.5,70.8116)
1:35a, (20.125,68.3366)
1:36b, (21.562,70.8116)
1:36a, (20.062,68.225)
1:37b, (21.625,70.925)
1:37a, (19.937,67.8866)
1:38b, (21.625,70.925)
1:38a, (19.875,67.775)
1:39b, (21.562,70.925)
1:39a, (19.75,67.6616)
1:40b, (21.562,70.8116)
1:40a, (19.75,67.55)
1:41b, (21.5,70.8116)
1:41a, (19.625,67.4366)
1:42b, (21.5,70.8116)
1:42a, (19.625,67.325)
1:43b, (21.437,70.7)
1:43a, (19.625,67.4366)
1:44b, (21.437,70.7)
1:44a, (19.625,67.325)
1:45b, (21.437,70.5866)
1:45a, (19.687,67.4366)
1:46b, (21.437,70.5866)
1:46a, (19.687,67.55)
1:47b, (21.375,70.5866)
1:47a, (19.875,67.775)
1:48b, (21.437,70.5866)
1:48a, (20.125,68.225)
1:49b, (21.375,70.5866)
1:49a, (20.062,68.225)
1:51b, (21.375,70.5866)
1:51a, (20.0,68.0)
1:52b, (21.437,70.5866)
1:52a, (20.062,68.11160000000001)
1:53b, (21.375,70.5866)
1:53a, (20.125,68.225)
1:54b, (21.437,70.5866)
1:54a, (20.0,68.11160000000001)
1:55b, (21.5,70.7)
1:55a, (19.937,67.8866)
1:56b, (21.5,70.8116)
1:56a, (19.875,67.8866)
1:57b, (21.5,70.8116)
1:57a, (19.812,67.6616)
1:58b, (21.5,70.8116)
1:58a, (19.75,67.55)
1:59b, (21.5,70.7)
1:59a, (19.687,67.4366)
2:0b, (21.5,70.7)
2:0a, (19.625,67.325)
2:1b, (21.437,70.7)
2:1a, (19.562,67.2116)
2:2b, (21.437,70.7)
